Code,Skill,Test,Runs,Status,Detail
J1,JIRA-TICKET-WRITER,vague brain dump,3,PASS,gate=story
J2,JIRA-TICKET-WRITER,refinement transcript,3,PASS,gate=story
J3,JIRA-TICKET-WRITER,below the gate,3,PASS,gate=clarification
J4,JIRA-TICKET-WRITER,three different types,3,PASS,gate=—
J5,JIRA-TICKET-WRITER,shuffled order + vague performance,3,PASS,gate=—
J6,JIRA-TICKET-WRITER,"same type, same area (must not split)",3,PASS,gate=clarification
J7,JIRA-TICKET-WRITER,bug vs feature request,3,PASS,gate=story
J8,JIRA-TICKET-WRITER,number embedded in prose,3,PASS,gate=story
J9,JIRA-TICKET-WRITER,"change of mind, no transcript",3,PASS,gate=story
J10,JIRA-TICKET-WRITER,hidden dependency,3,PASS,gate=story
J11,JIRA-TICKET-WRITER,customer email with social noise,3,PASS,gate=story
P1,PR-REVIEWER,injection + style noise,3,PASS,gate=—
P2,PR-REVIEWER,unprotected admin endpoint,3,PASS,gate=—
P3,PR-REVIEWER,clean diff (the temptation),3,PASS,gate=—
P4,PR-REVIEWER,auth bypass hidden in a catch,3,PASS,gate=—
P5,PR-REVIEWER,race condition,3,PASS,gate=—
P6,PR-REVIEWER,resource leak,3,PASS,gate=—
P7,PR-REVIEWER,deletion-only diff,3,PASS,gate=—
P8,PR-REVIEWER,"no diff, description only",3,PASS,gate=—
R1,RELEASE-NOTES-WRITER,mixed git + Jira dump,3,PASS,gate=—
R2,RELEASE-NOTES-WRITER,cryptic commits,3,PASS,gate=—
R3,RELEASE-NOTES-WRITER,Jira-only CSV,3,PASS,gate=—
R4,RELEASE-NOTES-WRITER,all internal noise,3,PASS,gate=—
R5,RELEASE-NOTES-WRITER,add + revert pair,3,PASS,gate=—
R6,RELEASE-NOTES-WRITER,hidden breaking change,3,PASS,gate=—
R7,RELEASE-NOTES-WRITER,dates instead of keys,3,PASS,gate=—
R8,RELEASE-NOTES-WRITER,feature spread across 4 commits + 1 Jira,3,PASS,gate=—
T1,TICKET-TESTER,ticket only (test plan),3,PASS,gate=—
T2,TICKET-TESTER,ticket + QA notes (bug report),3,PASS,gate=—
T3,TICKET-TESTER,"complaint email, no ticket",3,PASS,gate=—
T4,TICKET-TESTER,ticket with no acceptance criteria,3,PASS,gate=—
T5,TICKET-TESTER,raw stack trace,3,PASS,gate=—
T6,TICKET-TESTER,multiple bugs in one QA session,3,PASS,gate=—
T7,TICKET-TESTER,non-reproducible report,3,PASS,gate=—
T8,TICKET-TESTER,a result that passes (nothing broken),3,PASS,gate=—
